x_value,y_value,z_value
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2950,200
-400,-2900,200
-400,-2850,200
-400,-2800,200
-400,-2750,200
-400,-2700,200
-400,-2650,200
-400,-2600,200
-400,-2550,200
-400,-2500,200
-400,-2450,200
-400,-2400,200
-400,-2350,200
-400,-2300,200
-400,-2250,200
-400,-2200,200
-400,-2150,200
-400,-2100,200
-400,-2050,200
-400,-2000,200
-400,-1950,200
-400,-1900,200
-400,-1850,200
-400,-1800,200
-400,-1750,200
-400,-1700,200
-400,-1650,200
-400,-1600,200
-400,-1550,200
-400,-1500,200
-400,-1450,200
-400,-1400,200
-400,-1350,200
-400,-1300,200
-400,-1250,200
-400,-1200,200
-400,-1150,200
-400,-1100,200
-400,-1050,200
-400,-1000,200
-400,-950,200
-400,-900,200
-400,-850,200
-400,-800,200
-400,-750,200
-400,-700,200
-400,-650,200
-400,-600,200
-400,-550,200
-400,-500,200
-400,-450,200
-400,-400,200
-400,-350,200
-400,-300,200
-400,-250,200
-400,-200,200
-400,-150,200
-400,-100,200
-400,-50,200
-400,0,200
-400,50,200
-400,100,200
-400,150,200
-400,200,200
-400,250,200
-400,300,200
-400,350,200
-400,400,200
-400,450,200
-400,500,200
-400,550,200
-400,600,200
-400,650,200
-400,700,200
-400,750,200
-400,800,200
-400,850,200
-400,900,200
-400,950,200
-400,1000,200
-400,1050,200
-400,1100,200
-400,1150,200
-400,1200,200
-400,1250,200
-400,1300,200
-400,1350,200
-400,1400,200
-400,1450,200
-400,1500,200
-400,1550,200
-400,1600,200
-400,1650,200
-400,1700,200
-400,1750,200
-400,1800,200
-400,1850,200
-400,1900,200
-400,1950,200
-400,2000,200
-400,2050,200
-400,2100,200
-400,2150,200
-400,2200,200
-400,2250,200
-400,2300,200
-400,2350,200
-400,2400,200
-400,2450,200
-400,2500,200
-400,2550,200
-400,2600,200
-400,2600,200
-400,2600,200
-400,2600,200
-400,2600,200
-400,2600,200
-400,2600,200
